time,command_position,command_velocity,command_torque_or_current,true_motor_position,true_motor_velocity,measured_motor_encoder_position,true_finger_position,true_finger_velocity,measured_output_position,cable_tension,controller_error_position,controller_error_velocity,torque_command,current_command,applied_torque_after_saturation,external_load,temperature,safety_status
1780518689.9683657,,,0.275,-0.0005840517315506366,-0.14339405933331398,-0.00013968791359612913,0.0,0.0,0.00043794164882393535,0.0,,,,,-0.055593063646367145,0.0,25.00009574911539,
1780518689.9688458,,,0.0,-0.0010007039214928982,-0.2083260949711308,9.97513491650758e-05,0.0,0.0,0.0015185863109224605,0.0,0.0,0.0,0.0,0.0,-0.06479719215131059,0.0,25.000158203972553,OK
1780518689.9693224,,,0.275,-0.0014461785232590992,-0.2227373008831005,0.0001694827814343946,0.0,0.0,-0.000357556744217365,0.0,0.7495620583511761,6.597410114214226,0.275,2.5,-0.019490899864469183,0.0,25.000163847395573,OK
1780518689.9695764,,,-0.008730732334771925,-0.0018331389106164657,-0.1934801936786832,-0.0011066420345920472,0.0,0.0,-0.0008754914944191323,0.0,-0.0015185863109224605,-0.010051963383863372,-0.008730732334771925,-0.07937029395247204,0.019774553450793375,0.0,25.000169656222504,OK
1780518689.9698093,,,0.275,-0.0021701936382215376,-0.16852736380253594,-0.0004897623057771811,0.0,0.0,0.0011908685668349918,0.0,0.7503575567442173,6.5991408916698,0.275,2.5,0.01597384867938467,0.0,25.000173443565437,OK
1780518689.9700325,,,0.008547424194945053,-0.00246480124092318,-0.1473038013508211,-0.0009880440304106059,0.0,0.0,0.0008090077762049624,0.0,0.0008754914944191323,0.00749265067612806,0.008547424194945053,0.0777038563176823,0.01267990454416379,0.0,25.000175826661547,OK
1780518689.9702678,,,0.275,-0.0026393553207440484,-0.0872770399104344,-0.0018958295202511056,0.0,0.0,0.0006319715749548197,0.0,0.748809131433165,6.586438417566889,0.275,2.5,0.04765591727160862,0.0,25.000209602627336,OK
1780518689.9706578,,,-0.008878593273198851,-0.0027058015895792807,-0.03322313441761619,-0.0024148912375041073,0.0,0.0,0.00021385621988459174,0.0,-0.0008090077762049624,-0.011862197239431486,-0.008878593273198851,-0.08071448430180773,0.042441451528053474,0.0,25.000236388000545,OK
1780518689.9710648,,,0.275,-0.0026813684020004485,0.012216593789416141,-0.00294715891984165,0.0,0.0,0.00023653938108813982,0.0,0.7493680284250451,6.595382141562543,0.275,2.5,0.0355987788878865,0.0,25.000255228177053,OK
1780518689.9728026,,,0.275,-0.002602128944579884,0.03961972871028233,-0.00278565307739883,0.0,0.0,0.0005812016526862466,0.0,-0.00021385621988459174,-0.007471651045688251,-0.008559978469379089,-0.07781798608526444,0.029668462599741784,0.0,25.00026830956285,OK
1780518689.974816,,,-0.008697994657655552,-0.0024807645791801694,0.06068218269985727,-0.0010510414842345344,0.0,0.0,0.0006854958106804274,0.0,-0.0005812016526862466,-0.009373622871255809,-0.008697994657655552,-0.07907267870595956,0.024571337123859,0.0,25.000277277561374,OK
1780518689.9767191,,,0.275,-0.002328078187954011,0.07634319561307915,-0.0024488581348646636,0.0,0.0,-0.00017682285110132566,0.0,-0.0005812016526862466,-0.009373622871255809,-0.008697994657655552,-0.07907267870595956,0.020153828378093923,0.0,25.000283305996973,OK
1780518689.978748,,,0.008077517407378906,-0.0021528524282712937,0.08761287984135888,-0.0028370241676055805,0.0,0.0,0.0024417907693398467,0.0,0.00017682285110132566,0.001127973420229091,0.008077517407378906,0.07343197643071733,0.016306918639993992,0.0,25.000287247600863,OK
1780518689.980855,,,0.275,-0.0019625939298720044,0.09512924919964469,-0.002982405600297818,0.0,0.0,-0.0005836750259122888,0.0,0.00017682285110132566,0.001127973420229091,0.008077517407378906,0.07343197643071733,0.012972930200307386,0.0,25.000289736828996,OK
1780518689.9828522,0.0,,0.00827414636883072,-0.0017588058179824118,0.10189405594479627,-0.0022486525414998487,0.0,0.0,0.0015430901471323317,0.0,0.0005836750259122888,0.003830319820333223,0.00827414636883072,0.07521951244391564,0.012320208494583589,0.0,25.000291980338577,OK
